ticker,metric,fy,filing,filed,instance_value,instance_tag,sheet_value,sheet_tag,match
KR,cost_of_sales,2024,0001104659-26-037723,2026-03-31,113720000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,113720000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,True
KR,cost_of_sales,2023,0001104659-26-037723,2026-03-31,116675000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,116675000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,True
KR,net_income,2025,0001104659-26-037723,2026-03-31,1016000000.0,NetIncomeLoss,1016000000.0,NetIncomeLoss,True
KR,net_income,2024,0001104659-26-037723,2026-03-31,2665000000.0,NetIncomeLoss,2665000000.0,NetIncomeLoss,True
KR,net_income,2023,0001104659-26-037723,2026-03-31,2164000000.0,NetIncomeLoss,2164000000.0,NetIncomeLoss,True
KR,total_equity,2022,0001104659-26-037723,2026-03-31,10014000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,10014000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,True
KR,total_equity,2023,0001104659-26-037723,2026-03-31,11601000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,11601000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,True
KR,current_assets,2024,0001558370-25-004267,2025-04-01,15273000000.0,AssetsCurrent,15273000000.0,AssetsCurrent,True
KR,current_assets,2023,0001558370-25-004267,2025-04-01,12948000000.0,AssetsCurrent,12948000000.0,AssetsCurrent,True
KR,current_liabilities,2024,0001558370-25-004267,2025-04-01,15940000000.0,LiabilitiesCurrent,15940000000.0,LiabilitiesCurrent,True
KR,current_liabilities,2023,0001558370-25-004267,2025-04-01,16058000000.0,LiabilitiesCurrent,16058000000.0,LiabilitiesCurrent,True
KR,total_equity,2024,0001558370-25-004267,2025-04-01,8281000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,8281000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,True
