ticker,metric,fiscal_year,cik,period_start,period_end,value,tag,axis,member,accession,filed,instance,first_value,first_filed,n_versions,restated,status
SAMS,cost_of_sales,2022,104169,2022-02-01,2023-01-31,75584000000.0,us-gaap:CostOfRevenue,us-gaap:StatementBusinessSegmentsAxis,wmt:SamsClubUSMember,0000104169-25-000021,2025-03-14,wmt-20250131_htm.xml,75584000000.0,2025-03-14,1,False,ok
SAMS,cost_of_sales,2023,104169,2023-02-01,2024-01-31,76748000000.0,us-gaap:CostOfRevenue,us-gaap:StatementBusinessSegmentsAxis,wmt:SamsClubUSMember,0000104169-26-000055,2026-03-13,wmt-20260131_htm.xml,76748000000.0,2025-03-14,2,False,ok
SAMS,cost_of_sales,2024,104169,2024-02-01,2025-01-31,80035000000.0,us-gaap:CostOfRevenue,us-gaap:StatementBusinessSegmentsAxis,wmt:SamsClubUSMember,0000104169-26-000055,2026-03-13,wmt-20260131_htm.xml,80035000000.0,2025-03-14,2,False,ok
SAMS,cost_of_sales,2025,104169,2025-02-01,2026-01-31,82459000000.0,us-gaap:CostOfRevenue,us-gaap:StatementBusinessSegmentsAxis,wmt:SamsClubUSMember,0000104169-26-000055,2026-03-13,wmt-20260131_htm.xml,82459000000.0,2026-03-13,1,False,ok
SAMS,operating_income,2015,104169,2015-02-01,2016-01-31,1820000000.0,us-gaap:OperatingIncomeLoss,us-gaap:StatementBusinessSegmentsAxis,wmt:SamsClubMember,0000104169-18-000028,2018-03-30,wmt-20180131.xml,1820000000.0,2016-03-30,3,False,ok
SAMS,operating_income,2016,104169,2016-02-01,2017-01-31,1628000000.0,us-gaap:OperatingIncomeLoss,us-gaap:StatementBusinessSegmentsAxis,wmt:SamsClubMember,0000104169-19-000016,2019-03-28,wmt-20190131.xml,1671000000.0,2017-03-31,3,True,ok
SAMS,operating_income,2017,104169,2017-02-01,2018-01-31,915000000.0,us-gaap:OperatingIncomeLoss,us-gaap:StatementBusinessSegmentsAxis,wmt:SamsClubMember,0000104169-20-000011,2020-03-20,wmtform10-kx1312020_htm.xml,982000000.0,2018-03-30,3,True,ok
SAMS,operating_income,2018,104169,2018-02-01,2019-01-31,1520000000.0,us-gaap:OperatingIncomeLoss,us-gaap:StatementBusinessSegmentsAxis,wmt:SamsClubMember,0000104169-21-000033,2021-03-19,wmt-20210131_htm.xml,1520000000.0,2019-03-28,3,False,ok
SAMS,operating_income,2019,104169,2019-02-01,2020-01-31,1642000000.0,us-gaap:OperatingIncomeLoss,us-gaap:StatementBusinessSegmentsAxis,wmt:SamsClubMember,0000104169-22-000012,2022-03-18,wmt-20220131_htm.xml,1642000000.0,2020-03-20,3,False,ok
SAMS,operating_income,2020,104169,2020-02-01,2021-01-31,1906000000.0,us-gaap:OperatingIncomeLoss,us-gaap:StatementBusinessSegmentsAxis,wmt:SamsClubMember,0000104169-23-000020,2023-03-17,wmt-20230131_htm.xml,1906000000.0,2021-03-19,3,False,ok
SAMS,operating_income,2021,104169,2021-02-01,2022-01-31,2259000000.0,us-gaap:OperatingIncomeLoss,us-gaap:StatementBusinessSegmentsAxis,wmt:SamsClubMember,0000104169-24-000056,2024-03-15,wmt-20240131_htm.xml,2259000000.0,2022-03-18,3,False,ok
SAMS,operating_income,2022,104169,2022-02-01,2023-01-31,1964000000.0,us-gaap:OperatingIncomeLoss,us-gaap:StatementBusinessSegmentsAxis,wmt:SamsClubUSMember,0000104169-25-000021,2025-03-14,wmt-20250131_htm.xml,1964000000.0,2023-03-17,3,False,ok
SAMS,operating_income,2023,104169,2023-02-01,2024-01-31,2192000000.0,us-gaap:OperatingIncomeLoss,us-gaap:StatementBusinessSegmentsAxis,wmt:SamsClubUSMember,0000104169-26-000055,2026-03-13,wmt-20260131_htm.xml,2192000000.0,2024-03-15,3,False,ok
SAMS,operating_income,2024,104169,2024-02-01,2025-01-31,2404000000.0,us-gaap:OperatingIncomeLoss,us-gaap:StatementBusinessSegmentsAxis,wmt:SamsClubUSMember,0000104169-26-000055,2026-03-13,wmt-20260131_htm.xml,2404000000.0,2025-03-14,2,False,ok
SAMS,operating_income,2025,104169,2025-02-01,2026-01-31,2442000000.0,us-gaap:OperatingIncomeLoss,us-gaap:StatementBusinessSegmentsAxis,wmt:SamsClubUSMember,0000104169-26-000055,2026-03-13,wmt-20260131_htm.xml,2442000000.0,2026-03-13,1,False,ok
SAMS,revenue,2015,104169,2015-02-01,2016-01-31,56828000000.0,us-gaap:SalesRevenueNet,us-gaap:StatementBusinessSegmentsAxis,wmt:SamsClubMember,0000104169-18-000028,2018-03-30,wmt-20180131.xml,56828000000.0,2016-03-30,3,False,ok
