ticker,metric,fy,sheet_value_musd,extracted,frames_api,frame,tag,status,period_end,restated,first_value,sheet_vs_extract_ok,frames_match
WMT,current_assets,2021,81070,81070000000.0,81070000000.0,CY2021Q4I,AssetsCurrent,ok,2022-01-31,False,81070000000.0,True,True
WMT,current_assets,2022,75655,75655000000.0,75655000000.0,CY2022Q4I,AssetsCurrent,ok,2023-01-31,False,75655000000.0,True,True
WMT,current_assets,2023,76877,76877000000.0,76877000000.0,CY2023Q4I,AssetsCurrent,ok,2024-01-31,False,76877000000.0,True,True
WMT,current_assets,2024,79458,79458000000.0,79458000000.0,CY2024Q4I,AssetsCurrent,ok,2025-01-31,False,79458000000.0,True,True
WMT,current_assets,2025,84874,84874000000.0,,,AssetsCurrent,ok,2026-01-31,False,84874000000.0,True,
WMT,current_liabilities,2015,64619,64619000000.0,64619000000.0,CY2015Q4I,LiabilitiesCurrent,ok,2016-01-31,False,64619000000.0,True,True
WMT,current_liabilities,2016,66928,66928000000.0,66928000000.0,CY2016Q4I,LiabilitiesCurrent,ok,2017-01-31,False,66928000000.0,True,True
WMT,current_liabilities,2017,78521,78521000000.0,78521000000.0,CY2017Q4I,LiabilitiesCurrent,ok,2018-01-31,False,78521000000.0,True,True
WMT,current_liabilities,2018,77477,77477000000.0,77477000000.0,CY2018Q4I,LiabilitiesCurrent,ok,2019-01-31,False,77477000000.0,True,True
WMT,current_liabilities,2019,77790,77790000000.0,77790000000.0,CY2019Q4I,LiabilitiesCurrent,ok,2020-01-31,False,77790000000.0,True,True
WMT,current_liabilities,2020,92645,92645000000.0,92645000000.0,CY2020Q4I,LiabilitiesCurrent,ok,2021-01-31,False,92645000000.0,True,True
WMT,current_liabilities,2021,87379,87379000000.0,87379000000.0,CY2021Q4I,LiabilitiesCurrent,ok,2022-01-31,False,87379000000.0,True,True
WMT,current_liabilities,2022,92198,92198000000.0,92198000000.0,CY2022Q4I,LiabilitiesCurrent,ok,2023-01-31,False,92198000000.0,True,True
WMT,current_liabilities,2023,92415,92415000000.0,92415000000.0,CY2023Q4I,LiabilitiesCurrent,ok,2024-01-31,False,92415000000.0,True,True
WMT,current_liabilities,2024,96584,96584000000.0,96584000000.0,CY2024Q4I,LiabilitiesCurrent,ok,2025-01-31,False,96584000000.0,True,True
WMT,current_liabilities,2025,107469,107469000000.0,,,LiabilitiesCurrent,ok,2026-01-31,False,107469000000.0,True,
WMT,total_equity,2015,83611,83611000000.0,83611000000.0,CY2015Q4I,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,ok,2016-01-31,False,83611000000.0,True,True
WMT,total_equity,2016,80535,80535000000.0,80535000000.0,CY2016Q4I,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,ok,2017-01-31,False,80535000000.0,True,True
WMT,total_equity,2017,80822,80822000000.0,80822000000.0,CY2017Q4I,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,ok,2018-01-31,False,80822000000.0,True,True
WMT,total_equity,2018,79634,79634000000.0,79634000000.0,CY2018Q4I,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,ok,2019-01-31,False,79634000000.0,True,True
WMT,total_equity,2019,81552,81552000000.0,81552000000.0,CY2019Q4I,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,ok,2020-01-31,False,81552000000.0,True,True
WMT,total_equity,2020,87531,87531000000.0,87531000000.0,CY2020Q4I,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,ok,2021-01-31,False,87531000000.0,True,True
WMT,total_equity,2021,91891,91891000000.0,91891000000.0,CY2021Q4I,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,ok,2022-01-31,False,91891000000.0,True,True
WMT,total_equity,2022,83754,83754000000.0,83754000000.0,CY2022Q4I,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,ok,2023-01-31,False,83754000000.0,True,True
WMT,total_equity,2023,90349,90349000000.0,90349000000.0,CY2023Q4I,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,ok,2024-01-31,False,90349000000.0,True,True
WMT,total_equity,2024,97421,97421000000.0,,,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,ok,2025-01-31,False,97421000000.0,True,
WMT,total_equity,2025,105887,105887000000.0,,,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,ok,2026-01-31,False,105887000000.0,True,
COST,revenue,2015,116199,116199000000.0,116199000000.0,CY2015,Revenues,ok,2015-08-30,False,116199000000.0,True,True
COST,revenue,2016,118719,118719000000.0,118719000000.0,CY2016,RevenueFromContractWithCustomerExcludingAssessedTax,ok,2016-08-28,False,118719000000.0,True,True
COST,revenue,2017,129025,129025000000.0,,,RevenueFromContractWithCustomerExcludingAssessedTax,ok,2017-09-03,False,129025000000.0,True,
COST,revenue,2018,141576,141576000000.0,141576000000.0,CY2018,RevenueFromContractWithCustomerExcludingAssessedTax,ok,2018-09-02,False,141576000000.0,True,True
COST,revenue,2019,152703,152703000000.0,152703000000.0,CY2019,RevenueFromContractWithCustomerExcludingAssessedTax,ok,2019-09-01,False,152703000000.0,True,True
COST,revenue,2020,166761,166761000000.0,166761000000.0,CY2020,RevenueFromContractWithCustomerExcludingAssessedTax,ok,2020-08-30,False,166761000000.0,True,True
COST,revenue,2021,195929,195929000000.0,195929000000.0,CY2021,RevenueFromContractWithCustomerExcludingAssessedTax,ok,2021-08-29,False,195929000000.0,True,True
COST,revenue,2022,226954,226954000000.0,226954000000.0,CY2022,RevenueFromContractWithCustomerExcludingAssessedTax,ok,2022-08-28,False,226954000000.0,True,True
COST,revenue,2023,242290,242290000000.0,242290000000.0,CY2023,RevenueFromContractWithCustomerExcludingAssessedTax,ok,2023-09-03,False,242290000000.0,True,True
COST,revenue,2024,254453,254453000000.0,254453000000.0,CY2024,RevenueFromContractWithCustomerExcludingAssessedTax,ok,2024-09-01,False,254453000000.0,True,True
COST,revenue,2025,275235,275235000000.0,275235000000.0,CY2025,RevenueFromContractWithCustomerExcludingAssessedTax,ok,2025-08-31,False,275235000000.0,True,True
COST,cost_of_sales,2015,101065,101065000000.0,101065000000.0,CY2015,CostOfGoodsSold,ok,2015-08-30,False,101065000000.0,True,True
COST,cost_of_sales,2016,102901,102901000000.0,102901000000.0,CY2016,CostOfGoodsAndServicesSold,ok,2016-08-28,False,102901000000.0,True,True
COST,cost_of_sales,2017,111882,111882000000.0,,,CostOfGoodsAndServicesSold,ok,2017-09-03,False,111882000000.0,True,
COST,cost_of_sales,2018,123152,123152000000.0,123152000000.0,CY2018,CostOfGoodsAndServicesSold,ok,2018-09-02,False,123152000000.0,True,True
COST,cost_of_sales,2019,132886,132886000000.0,132886000000.0,CY2019,CostOfGoodsAndServicesSold,ok,2019-09-01,False,132886000000.0,True,True
COST,cost_of_sales,2020,144939,144939000000.0,144939000000.0,CY2020,CostOfGoodsAndServicesSold,ok,2020-08-30,False,144939000000.0,True,True
COST,cost_of_sales,2021,170684,170684000000.0,170684000000.0,CY2021,CostOfGoodsAndServicesSold,ok,2021-08-29,False,170684000000.0,True,True
COST,cost_of_sales,2022,199382,199382000000.0,199382000000.0,CY2022,CostOfGoodsAndServicesSold,ok,2022-08-28,False,199382000000.0,True,True
COST,cost_of_sales,2023,212586,212586000000.0,212586000000.0,CY2023,CostOfGoodsAndServicesSold,ok,2023-09-03,False,212586000000.0,True,True
COST,cost_of_sales,2024,222358,222358000000.0,222358000000.0,CY2024,CostOfGoodsAndServicesSold,ok,2024-09-01,False,222358000000.0,True,True
COST,cost_of_sales,2025,239886,239886000000.0,239886000000.0,CY2025,CostOfGoodsAndServicesSold,ok,2025-08-31,False,239886000000.0,True,True
COST,net_income,2015,2377,2377000000.0,2377000000.0,CY2015,NetIncomeLoss,ok,2015-08-30,False,2377000000.0,True,True
COST,net_income,2016,2350,2350000000.0,2350000000.0,CY2016,NetIncomeLoss,ok,2016-08-28,False,2350000000.0,True,True
COST,net_income,2017,2679,2679000000.0,,,NetIncomeLoss,ok,2017-09-03,False,2679000000.0,True,
COST,net_income,2018,3134,3134000000.0,3134000000.0,CY2018,NetIncomeLoss,ok,2018-09-02,False,3134000000.0,True,True
COST,net_income,2019,3659,3659000000.0,3659000000.0,CY2019,NetIncomeLoss,ok,2019-09-01,False,3659000000.0,True,True
COST,net_income,2020,4002,4002000000.0,4002000000.0,CY2020,NetIncomeLoss,ok,2020-08-30,False,4002000000.0,True,True
COST,net_income,2021,5007,5007000000.0,5007000000.0,CY2021,NetIncomeLoss,ok,2021-08-29,False,5007000000.0,True,True
COST,net_income,2022,5844,5844000000.0,5844000000.0,CY2022,NetIncomeLoss,ok,2022-08-28,False,5844000000.0,True,True
COST,net_income,2023,6292,6292000000.0,6292000000.0,CY2023,NetIncomeLoss,ok,2023-09-03,False,6292000000.0,True,True
COST,net_income,2024,7367,7367000000.0,7367000000.0,CY2024,NetIncomeLoss,ok,2024-09-01,False,7367000000.0,True,True
COST,net_income,2025,8099,8099000000.0,8099000000.0,CY2025,NetIncomeLoss,ok,2025-08-31,False,8099000000.0,True,True
COST,current_assets,2015,16779,16779000000.0,16779000000.0,CY2015Q3I,AssetsCurrent,ok,2015-08-30,True,17299000000.0,True,True
COST,current_assets,2016,15218,15218000000.0,15218000000.0,CY2016Q3I,AssetsCurrent,ok,2016-08-28,False,15218000000.0,True,True
COST,current_assets,2017,17317,17317000000.0,17317000000.0,CY2017Q3I,AssetsCurrent,ok,2017-09-03,False,17317000000.0,True,True
COST,current_assets,2018,20289,20289000000.0,,,AssetsCurrent,ok,2018-09-02,False,20289000000.0,True,
COST,current_assets,2019,23485,23485000000.0,23485000000.0,CY2019Q3I,AssetsCurrent,ok,2019-09-01,False,23485000000.0,True,True
COST,current_assets,2020,28120,28120000000.0,28120000000.0,CY2020Q3I,AssetsCurrent,ok,2020-08-30,False,28120000000.0,True,True
COST,current_assets,2021,29505,29505000000.0,29505000000.0,CY2021Q3I,AssetsCurrent,ok,2021-08-29,False,29505000000.0,True,True
COST,current_assets,2022,32696,32696000000.0,32696000000.0,CY2022Q3I,AssetsCurrent,ok,2022-08-28,False,32696000000.0,True,True
COST,current_assets,2023,35879,35879000000.0,35879000000.0,CY2023Q3I,AssetsCurrent,ok,2023-09-03,False,35879000000.0,True,True
COST,current_assets,2024,34246,34246000000.0,34246000000.0,CY2024Q3I,AssetsCurrent,ok,2024-09-01,False,34246000000.0,True,True
COST,current_assets,2025,38380,38380000000.0,,,AssetsCurrent,ok,2025-08-31,False,38380000000.0,True,
COST,current_liabilities,2015,16539,16539000000.0,16539000000.0,CY2015Q3I,LiabilitiesCurrent,ok,2015-08-30,True,16540000000.0,True,True
COST,current_liabilities,2016,15575,15575000000.0,15575000000.0,CY2016Q3I,LiabilitiesCurrent,ok,2016-08-28,False,15575000000.0,True,True
COST,current_liabilities,2017,17495,17495000000.0,17495000000.0,CY2017Q3I,LiabilitiesCurrent,ok,2017-09-03,False,17495000000.0,True,True
COST,current_liabilities,2018,19926,19926000000.0,,,LiabilitiesCurrent,ok,2018-09-02,False,19926000000.0,True,
COST,current_liabilities,2019,23237,23237000000.0,23237000000.0,CY2019Q3I,LiabilitiesCurrent,ok,2019-09-01,False,23237000000.0,True,True
COST,current_liabilities,2020,24844,24844000000.0,24844000000.0,CY2020Q3I,LiabilitiesCurrent,ok,2020-08-30,False,24844000000.0,True,True
COST,current_liabilities,2021,29441,29441000000.0,29441000000.0,CY2021Q3I,LiabilitiesCurrent,ok,2021-08-29,False,29441000000.0,True,True
COST,current_liabilities,2022,31998,31998000000.0,31998000000.0,CY2022Q3I,LiabilitiesCurrent,ok,2022-08-28,False,31998000000.0,True,True
COST,current_liabilities,2023,33583,33583000000.0,33583000000.0,CY2023Q3I,LiabilitiesCurrent,ok,2023-09-03,False,33583000000.0,True,True
